gameindex,year,month,day,round,hometeamindex,awayteamindex,homewinodds,drawodds,awayteamodds,overtime,homescore,awayscore,homepenaltyscore,awaypenaltyscore
1238,2017,10,6,,5,2,1.82,4.08,3.89,0,2,0,0,0
1239,2017,10,7,,6,10,3.29,3.36,2.16,0,0,1,0,0
1240,2017,10,7,,3,7,2.47,3.46,2.77,0,1,5,0,0
1241,2017,10,8,,12,9,1.97,3.95,3.51,0,2,1,0,0
1242,2017,10,8,,11,1,2.94,3.65,2.3,0,1,1,0,0
1243,2017,10,13,,2,1,2.36,3.46,2.89,0,1,2,0,0
1244,2017,10,14,,6,5,2.11,3.49,3.36,0,1,2,0,0
1245,2017,10,14,,12,3,1.37,5.16,7.43,0,2,2,0,0
1246,2017,10,15,,10,11,1.34,5,8.82,0,3,2,0,0
1247,2017,10,15,,7,9,2.06,3.78,3.23,0,2,2,0,0
1248,2017,10,20,,1,6,2.52,3.41,2.7,0,2,2,0,0
1249,2017,10,21,,10,12,1.66,3.94,4.93,0,2,2,0,0
1250,2017,10,21,,5,11,1.66,4.3,4.57,0,1,0,0,0
1251,2017,10,22,,9,3,1.66,4.48,4.44,0,2,1,0,0
1252,2017,10,22,,2,7,2.12,3.63,3.23,0,1,2,0,0
1253,2017,10,27,,10,9,1.37,5.22,7.44,0,2,0,0,0
1254,2017,10,28,,1,5,2.89,3.33,2.42,0,0,2,0,0
1255,2017,10,28,,11,2,2.18,3.56,3.14,0,3,3,0,0
1256,2017,10,29,,3,6,3.57,3.68,1.98,0,1,1,0,0
1257,2017,10,29,,7,12,2.62,3.57,2.54,0,1,1,0,0
1258,2017,11,3,,5,10,3.33,3.33,2.18,0,0,1,0,0
1259,2017,11,4,,9,1,2.06,3.73,3.29,0,1,0,0,0
1260,2017,11,4,,7,11,1.96,3.81,3.51,0,3,0,0,0
1261,2017,11,5,,2,3,1.92,3.84,3.6,0,0,0,0,0
1262,2017,11,6,,6,12,2.56,3.51,2.61,0,1,1,0,0
