gameindex,year,month,day,round,hometeamindex,awayteamindex,homewinodds,drawodds,awayteamodds,overtime,homescore,awayscore,homepenaltyscore,awaypenaltyscore
1098,2016,10,7,,2,6,2.35,3.42,2.93,0,1,1,0,0
1099,2016,10,8,,11,5,3.76,3.85,1.87,0,0,1,0,0
1100,2016,10,8,,12,10,3.26,3.37,2.19,0,0,4,0,0
1101,2016,10,8,,9,3,1.38,4.91,7.50,0,3,3,0,0
1102,2016,10,9,,7,1,3.11,3.41,2.25,0,1,1,0,0
1103,2016,10,14,,1,12,1.91,3.64,3.82,0,1,2,0,0
1104,2016,10,15,,10,3,1.27,6.03,9.95,0,4,0,0,0
1105,2016,10,15,,6,5,2.34,3.49,2.87,0,1,4,0,0
1106,2016,10,16,,7,2,3.42,3.58,2.05,0,4,0,0,0
1107,2016,10,16,,9,11,1.75,3.91,4.38,0,2,0,0,0
1108,2016,10,21,,5,9,1.50,4.56,5.78,0,2,3,0,0
1109,2016,10,22,,3,2,4.36,4.03,1.73,0,0,1,0,0
1110,2016,10,22,,1,6,2.47,3.44,2.78,0,1,2,0,0
1111,2016,10,23,,11,10,3.61,3.60,2.00,0,0,1,0,0
1112,2016,10,23,,12,7,1.78,3.88,4.26,0,2,2,0,0
1113,2016,10,28,,5,1,1.88,3.70,3.90,0,2,1,0,0
1114,2016,10,29,,7,10,4.07,3.66,1.86,0,0,2,0,0
1115,2016,10,29,,12,3,1.32,5.59,8.39,0,1,1,0,0
1116,2016,10,30,,2,9,2.08,3.73,3.24,0,2,1,0,0
1117,2016,10,31,,6,11,1.62,4.13,5.06,0,6,1,0,0
1118,2016,11,4,,2,5,2.48,3.52,2.67,0,1,0,0,0
1119,2016,11,5,,11,7,2.05,3.64,3.42,0,2,0,0,0
1120,2016,11,5,,10,6,1.94,3.63,3.75,0,2,1,0,0
1121,2016,11,6,,1,3,1.46,4.62,6.48,0,1,2,0,0
1122,2016,11,6,,9,12,2.17,3.51,3.15,0,2,2,0,0
1123,2016,11,10,,5,7,1.39,4.94,7.29,0,2,1,0,0
1124,2016,11,11,,1,2,2.44,3.43,2.81,0,1,1,0,0
1125,2016,11,12,,3,11,2.51,3.51,2.67,0,0,2,0,0
1126,2016,11,12,,6,12,2.13,3.55,3.27,0,3,0,0,0
1127,2016,11,13,,10,9,1.51,4.49,5.92,0,4,1,0,0
1128,2016,11,19,,12,5,2.89,3.50,2.35,0,1,1,0,0
1129,2016,11,19,,9,1,2.15,3.55,3.22,0,3,1,0,0
1130,2016,11,20,,2,10,2.75,3.36,2.53,0,1,1,0,0
1131,2016,11,20,,7,3,1.84,3.67,4.18,0,1,1,0,0
1132,2016,11,25,,3,9,3.25,3.67,2.10,0,2,0,0,0
1133,2016,11,26,,12,2,2.45,3.39,2.84,0,1,1,0,0
1134,2016,11,26,,6,7,1.49,4.48,6.24,0,2,0,0,0
1135,2016,11,27,,10,1,1.68,3.97,4.75,0,0,0,0,0
1136,2016,11,27,,5,11,1.41,4.85,7.08,0,2,1,0,0
1137,2016,12,2,,6,9,1.52,4.35,5.92,0,1,1,0,0
1138,2016,12,3,,3,12,4.88,4.02,1.66,0,1,4,0,0
1139,2016,12,3,,5,2,1.93,3.62,3.80,0,1,1,0,0
1140,2016,12,4,,7,10,5.31,3.90,1.64,0,0,2,0,0
1141,2016,12,4,,1,11,1.66,3.95,4.93,0,2,0,0,0
1142,2016,12,9,,10,5,2.04,3.37,3.67,0,1,1,0,0
1143,2016,12,10,,11,3,1.55,4.18,5.76,0,3,0,0,0
1144,2016,12,10,,12,6,2.47,3.41,2.77,0,0,3,0,0
1145,2016,12,10,,9,7,1.62,3.99,5.34,0,1,2,0,0
1146,2016,12,11,,2,1,2.02,3.47,3.60,0,4,0,0,0
1147,2016,12,16,,7,1,3.40,3.37,2.13,0,2,1,0,0
1148,2016,12,17,,11,12,2.69,3.50,2.49,0,2,2,0,0
1149,2016,12,17,,5,6,2.66,3.41,2.56,0,1,2,0,0
1150,2016,12,17,,9,10,4.55,3.86,1.72,0,1,4,0,0
1151,2016,12,18,,3,2,5.79,4.15,1.54,0,1,2,0,0
1152,2016,12,23,,2,12,1.93,3.59,3.80,0,1,1,0,0
1153,2016,12,26,,7,11,2.46,3.47,2.72,0,2,2,0,0
1154,2016,12,26,,1,10,2.99,3.29,2.36,0,0,4,0,0
1155,2016,12,27,,5,9,1.52,4.45,5.69,0,3,3,0,0
1156,2016,12,28,,6,3,1.18,6.91,14.72,0,4,1,0,0
1157,2016,12,30,,10,2,1.71,3.74,4.73,0,2,0,0,0
1158,2016,12,31,,3,5,6.33,4.75,1.45,0,2,2,0,0
1159,2017,1,1,,11,1,2.21,3.49,3.11,0,0,0,0,0
1160,2017,1,1,,12,9,1.63,4.16,4.83,0,1,1,0,0
1161,2017,1,2,,6,7,1.41,4.61,7.54,0,4,2,0,0
1162,2017,1,5,,9,11,1.93,3.71,3.68,0,2,1,0,0
1163,2017,1,6,,5,12,1.84,3.82,3.92,0,1,0,0,0
1164,2017,1,7,,2,7,1.66,3.83,5.17,0,2,3,0,0
1165,2017,1,7,,1,6,3.71,3.65,1.93,0,0,2,0,0
1166,2017,1,8,,3,10,9.30,5.42,1.31,0,2,3,0,0
1167,2017,1,12,,1,5,3.28,3.55,2.10,0,2,1,0,0
1168,2017,1,13,,6,2,1.69,3.89,4.72,0,3,2,0,0
1169,2017,1,14,,11,3,1.57,4.32,5.24,0,1,0,0,0
1170,2017,1,14,,10,12,1.74,3.75,4.59,0,0,0,0,0
