gameindex,year,month,day,round,hometeamindex,awayteamindex,homewinodds,drawodds,awayteamodds,overtime,homescore,awayscore,homepenaltyscore,awaypenaltyscore
538,2012,10,5,,6,5,2.12,3.23,3.38,0,1,2,0,0
539,2012,10,6,,11,10,2.33,3.31,2.90,0,2,0,0,0
540,2012,10,6,,12,3,3.60,3.25,1.91,0,0,0,0,0
541,2012,10,7,,7,1,2.10,3.35,3.29,0,0,2,0,0
542,2012,10,7,,9,2,2.84,3.19,2.42,0,1,0,0,0
543,2012,10,12,,1,12,1.61,3.45,4.90,0,1,0,0,0
544,2012,10,13,,10,7,2.08,3.28,3.42,0,2,3,0,0
545,2012,10,13,,2,6,1.58,3.85,5.34,0,5,0,0,0
546,2012,10,14,,5,11,1.55,3.80,5.89,0,1,1,0,0
547,2012,10,14,,3,9,2.08,3.23,3.48,0,1,0,0,0
548,2012,10,19,,6,1,2.56,3.30,2.61,0,2,1,0,0
549,2012,10,20,,7,3,2.95,3.24,2.32,0,2,1,0,0
550,2012,10,20,,12,10,3.05,3.15,2.15,0,0,1,0,0
551,2012,10,21,,11,2,3.12,3.32,2.20,0,1,1,0,0
552,2012,10,21,,9,5,1.91,3.39,3.90,0,2,0,0,0
553,2012,10,26,,7,6,1.92,3.50,3.69,0,2,1,0,0
554,2012,10,27,,1,11,2.20,3.25,3.16,0,3,1,0,0
555,2012,10,27,,2,12,1.31,4.93,9.04,0,0,1,0,0
556,2012,10,28,,5,3,2.66,3.18,2.59,0,0,1,0,0
557,2012,10,28,,10,9,2.42,3.24,2.81,0,2,1,0,0
558,2012,11,2,,12,5,2.38,3.19,2.90,0,2,1,0,0
559,2012,11,3,,3,10,1.68,3.64,4.83,0,7,2,0,0
560,2012,11,3,,9,7,1.84,3.50,4.06,0,3,2,0,0
561,2012,11,4,,2,1,1.53,4.14,5.54,0,0,1,0,0
562,2012,11,5,,6,11,2.02,3.42,3.43,0,3,2,0,0
563,2012,11,9,,5,2,3.37,3.26,2.11,0,4,1,0,0
564,2012,11,10,,12,7,2.78,3.26,2.44,0,1,2,0,0
565,2012,11,10,,10,6,2.25,3.41,3.05,0,2,3,0,0
566,2012,11,11,,11,3,2.72,3.26,2.49,0,0,1,0,0
567,2012,11,11,,1,9,2.27,3.27,3.02,0,1,1,0,0
568,2012,11,16,,2,10,1.53,4.20,5.35,0,4,2,0,0
569,2012,11,17,,1,5,2.06,3.31,3.48,0,1,0,0,0
570,2012,11,17,,6,3,2.99,3.31,2.28,0,2,2,0,0
571,2012,11,18,,7,11,1.82,3.52,4.11,0,0,3,0,0
572,2012,11,18,,9,12,1.58,3.76,5.58,0,0,1,0,0
573,2012,11,23,,10,1,2.70,3.39,2.43,0,1,2,0,0
574,2012,11,24,,5,7,2.09,3.41,3.29,0,3,3,0,0
575,2012,11,24,,12,6,2.68,3.31,2.49,0,0,2,0,0
576,2012,11,24,,9,11,1.71,3.57,4.64,0,1,1,0,0
577,2012,11,25,,3,2,2.42,3.33,2.78,0,2,1,0,0
578,2012,11,30,,6,9,2.09,3.44,3.24,0,1,0,0,0
579,2012,12,1,,3,1,1.69,3.61,4.80,0,2,1,0,0
580,2012,12,1,,2,7,1.63,4.01,4.66,0,1,0,0,0
581,2012,12,2,,11,12,1.75,3.50,4.56,0,1,0,0,0
582,2012,12,2,,10,5,2.43,3.32,2.77,0,0,0,0,0
583,2012,12,7,,1,6,2.21,3.37,3.08,0,4,2,0,0
584,2012,12,8,,5,9,2.53,3.27,2.67,0,1,0,0,0
585,2012,12,8,,7,3,3.41,3.41,2.05,0,0,2,0,0
586,2012,12,9,,11,10,1.55,3.97,5.58,0,1,2,0,0
587,2012,12,9,,12,2,3.80,3.36,1.95,0,1,0,0,0
588,2012,12,14,,3,5,1.45,4.19,6.75,0,2,0,0,0
589,2012,12,14,,9,7,1.68,3.71,4.76,0,3,0,0,0
590,2012,12,15,,6,2,2.54,3.42,2.54,0,1,1,0,0
