gameindex,year,month,day,round,hometeamindex,awayteamindex,homewinodds,drawodds,awaywinodds,superover,homeruns,awayruns,homewickets,awaywickets,homeovers,awayovers,toss,batfirst,winner
172,2016,12,20,1,8,7,2.06,,1.74,0,159,160,8,1,20,18,2,1,2
173,2016,12,21,1,1,2,1.79,,2.01,0,196,206,6,5,20,20,1,2,2
174,2016,12,22,1,4,8,1.59,,2.35,0,179,130,7,10,20,19.1,2,1,1
175,2016,12,23,2,6,1,1.76,,2.05,0,197,149,7,9,20,20,2,1,1
176,2016,12,23,1,7,3,1.56,,2.42,0,140,200,10,6,16.2,20,1,2,2
177,2016,12,26,2,3,5,2.14,,1.7,0,188,191,4,3,20,17.4,1,1,2
178,2016,12,27,2,7,6,2.3,,1.61,0,132,130,4,8,18,20,2,2,1
179,2016,12,28,2,8,2,2.09,,1.74,0,157,160,7,7,20,19.4,2,1,2
180,2016,12,29,3,4,6,1.85,,1.94,0,148,152,8,6,20,20,2,1,2
181,2016,12,30,3,2,3,1.63,,2.27,0,174,173,3,9,16.2,20,1,2,1
182,2016,12,31,3,1,7,1.91,,1.88,0,152,104,9,10,20,18.2,2,1,1
183,2017,1,1,4,6,8,1.61,,2.3,0,177,127,4,8,20,20,2,1,1
184,2017,1,1,3,5,4,1.61,,2.3,0,151,171,9,4,18,20,1,2,2
185,2017,1,2,4,3,1,2.02,,1.75,0,144,143,2,10,17.4,20,1,2,1
186,2017,1,3,4,2,7,1.68,,2.19,0,186,191,6,7,20,19.4,2,1,2
187,2017,1,4,4,8,5,2.39,,1.57,0,168,166,4,8,20,20,1,2,1
188,2017,1,5,5,6,2,1.57,,2.39,0,173,174,6,1,20,14.4,1,1,2
189,2017,1,6,5,1,3,1.77,,2.03,0,164,161,5,8,18.2,20,1,2,1
190,2017,1,7,5,4,5,2.05,,1.76,0,154,200,9,7,20,20,1,2,2
191,2017,1,8,5,3,8,1.74,,2.08,0,161,162,8,4,20,16.5,2,1,2
192,2017,1,9,6,7,4,1.9,,1.89,0,171,170,4,6,19.3,20,2,2,1
193,2017,1,10,6,5,1,1.63,,2.27,0,153,152,8,8,19.3,20,1,2,1
194,2017,1,11,6,2,6,1.99,,1.8,0,129,156,10,5,19.2,20,1,2,2
195,2017,1,12,6,4,3,1.63,,2.27,0,222,223,4,8,20,20,2,1,2
196,2017,1,14,7,6,5,1.82,,1.96,0,134,137,7,3,20,17.2,1,1,2
197,2017,1,14,7,7,8,2.3,,1.61,0,99,100,9,2,20,10,1,1,2
198,2017,1,16,7,1,4,2.11,,1.72,0,165,171,8,9,20,20,1,2,2
199,2017,1,17,7,5,2,1.48,,2.63,0,138,139,7,3,20,18.1,1,1,2
200,2017,1,18,8,8,1,1.68,,2.18,0,101,178,10,5,15.3,20,1,2,2
201,2017,1,20,8,2,4,2.05,,1.76,0,198,199,10,5,19.5,20,1,2,2
202,2017,1,21,8,5,7,1.91,,1.88,0,156,160,8,7,20,19,2,1,2
203,2017,1,21,8,3,6,2.14,,1.7,0,134,135,6,3,20,13.5,2,1,2
204,2017,1,24,,6,5,1.72,,2.13,0,139,136,3,8,16.5,20,1,2,1
205,2017,1,25,,2,7,1.87,,1.95,-1,167,167,9,8,20,20,2,1,2
206,2017,1,28,,6,7,1.76,,2.07,0,144,141,1,9,15.5,20,1,2,1
