gameindex,year,month,day,round,hometeamindex,awayteamindex,homewinodds,drawodds,awayteamodds,overtime,homescore,awayscore
93,2010,2,12,,1,9,2.12,19.67,1.72,,20,34
94,2010,2,12,,7,2,2.57,21.00,1.49,,15,24
95,2010,2,12,,4,3,4.03,23.33,1.23,,34,51
96,2010,2,13,,6,8,1.14,29.67,5.50,,32,17
97,2010,2,13,,14,18,2.71,20.33,1.45,,28,30
98,2010,2,13,,12,16,3.22,22.67,1.34,,13,26
99,2010,2,13,,15,5,1.45,21.00,2.69,,18,19
100,2010,2,19,,8,1,1.97,19.00,1.85,,15,19
101,2010,2,19,,14,6,4.47,24.33,1.19,,41,20
102,2010,2,19,,15,4,1.25,22.29,3.80,,20,25
103,2010,2,19,,12,5,3.54,21.43,1.29,,65,72
104,2010,2,20,,9,7,1.06,32.14,7.90,,47,22
105,2010,2,20,,3,2,1.38,20.43,2.99,,50,32
106,2010,2,20,,16,18,1.42,19.57,2.84,,27,6
107,2010,2,26,,6,15,1.15,25.57,5.10,,35,6
108,2010,2,26,,16,2,1.53,19.71,2.47,,17,19
109,2010,2,27,,9,12,1.02,40.33,11.50,,33,18
110,2010,2,27,,14,1,1.67,18.29,2.19,,18,27
111,2010,2,27,,7,5,3.10,21.00,1.36,,19,37
112,2010,2,27,,4,8,1.47,19.57,2.64,,24,31
113,2010,2,27,,3,18,1.13,27.57,5.34,,48,38
114,2010,3,5,,5,14,1.06,28.29,7.86,,18,23
115,2010,3,5,,2,12,1.04,33.67,9.67,,24,13
116,2010,3,6,,6,1,1.21,21.43,4.27,,33,20
117,2010,3,6,,18,15,1.27,22.00,3.61,,25,21
118,2010,3,6,,16,8,1.35,20.17,3.16,,33,0
119,2010,3,6,,4,9,2.67,18.33,1.47,,28,12
120,2010,3,12,,5,6,2.21,19.14,1.66,,19,26
121,2010,3,12,,18,12,1.08,32.17,7.25,,73,12
122,2010,3,13,,2,15,1.25,22.71,3.76,,24,22
123,2010,3,13,,3,8,1.03,35.71,10.21,,50,35
124,2010,3,13,,16,9,1.51,20.00,2.52,,37,13
125,2010,3,14,,14,7,1.31,22.57,3.38,,50,10
126,2010,3,19,,1,2,1.67,18.71,2.19,,39,34
127,2010,3,19,,3,9,1.13,26.29,5.61,,19,18
128,2010,3,20,,6,12,1.01,36.25,13.00,,46,19
129,2010,3,20,,8,15,2.08,18.00,1.75,,16,30
130,2010,3,20,,7,18,4.28,21.86,1.21,,10,14
131,2010,3,20,,16,4,1.19,22.29,4.55,,21,8
132,2010,3,26,,8,12,1.12,30.17,5.78,,39,29
133,2010,3,26,,2,5,1.64,18.86,2.24,,30,23
134,2010,3,26,,4,14,1.98,18.57,1.83,,10,31
135,2010,3,27,,9,15,1.46,20.43,2.65,,26,29
136,2010,3,27,,18,1,1.62,18.86,2.27,,39,32
137,2010,3,27,,7,3,4.84,25.14,1.17,,15,28
138,2010,4,2,,9,6,2.36,19.29,1.57,,26,26
139,2010,4,2,,7,16,3.29,21.86,1.32,,16,15
140,2010,4,3,,1,3,1.88,18.00,1.92,,32,17
141,2010,4,3,,5,8,1.20,23.14,4.28,,27,21
142,2010,4,3,,18,4,1.09,29.43,6.54,,40,17
143,2010,4,3,,15,14,1.51,20.29,2.50,,30,28
144,2010,4,9,,5,3,1.80,19.67,2.00,,19,33
145,2010,4,10,,8,7,1.38,21.57,2.98,,27,41
146,2010,4,10,,1,16,1.36,22.14,3.04,,21,33
147,2010,4,10,,6,18,1.28,22.86,3.54,,20,13
148,2010,4,10,,2,4,1.04,32.00,8.89,,61,15
149,2010,4,10,,12,14,3.14,21.14,1.36,,26,41
150,2010,4,16,,5,16,2.07,18.43,1.76,,15,49
151,2010,4,16,,2,9,1.47,21.14,2.62,,13,23
152,2010,4,17,,1,7,1.26,23.14,3.76,,38,17
153,2010,4,17,,6,4,1.01,40.83,13.50,,45,6
154,2010,4,17,,14,3,2.32,20.00,1.59,,19,12
155,2010,4,17,,12,15,4.23,23.57,1.21,,28,32
156,2010,4,23,,5,4,1.06,32.86,7.56,,25,25
157,2010,4,23,,14,16,2.04,18.43,1.78,,16,13
158,2010,4,23,,7,6,5.03,24.71,1.15,,24,16
159,2010,4,24,,8,9,3.35,21.14,1.32,,31,33
160,2010,4,24,,18,2,1.55,19.29,2.40,,19,12
161,2010,4,24,,3,12,1.03,35.71,10.64,,51,11
162,2010,4,24,,15,1,1.57,19.29,2.36,,23,10
163,2010,4,30,,8,18,2.78,20.29,1.43,,26,10
164,2010,4,30,,16,6,1.56,19.43,2.40,,42,14
165,2010,5,1,,9,5,1.16,25.57,4.96,,33,27
166,2010,5,1,,2,14,1.85,17.71,1.96,,32,12
167,2010,5,1,,4,1,2.78,20.43,1.42,,36,32
168,2010,5,1,,12,7,2.39,19.43,1.56,,12,33
169,2010,5,1,,3,15,1.28,22.00,3.59,,27,19
170,2010,5,7,,9,14,1.43,21.43,2.75,,44,21
171,2010,5,7,,3,6,1.27,23.29,3.66,,40,35
172,2010,5,8,,5,18,2.15,19.14,1.69,,19,46
