year,month,day,round,hometeamindex,awayteamindex,homewinodds, drawodds , awaywinodds ,overtime,homescore,awayscore
2016,6,17,,12,10,3.41,, 1.32 ,,84,93
2016,6,18,,2,17,7.95,, 1.08 ,,82,131
2016,6,18,,6,13,2.41,, 1.57 ,,86,69
2016,6,18,,18,7,2.51,, 1.53 ,,43,100
2016,6,19,,16,11,1.23,, 4.10 ,,86,31
2016,6,19,,5,9,12.72,, 1.02 ,,90,117
2016,6,23,,1,12,1.27,, 3.77 ,,100,67
2016,6,24,,4,6,1.83,, 1.96 ,,85,37
2016,6,25,,14,2,1.06,, 8.92 ,,117,75
2016,6,25,,9,3,1.06,, 9.21 ,,127,65
2016,6,25,,15,7,5.3,, 1.15 ,,93,90
2016,6,26,,10,8,1.04,, 9.61 ,,86,60
2016,6,30,,17,5,1.01,, 15.93 ,,130,52
2016,7,1,,13,14,1.35,, 3.22 ,,94,56
2016,7,2,,8,15,1.82,, 1.98 ,,108,68
2016,7,2,,16,18,1.39,, 2.99 ,,79,83
2016,7,2,,3,4,2.48,, 1.54 ,,45,57
2016,7,3,,11,1,3.59,, 1.29 ,,98,120
2016,7,7,,13,10,2.16,, 1.69 ,,79,101
2016,7,8,,7,16,1.37,, 3.10 ,,60,98
2016,7,9,,9,4,1.1,, 6.84 ,,93,125
2016,7,9,,8,2,1.19,, 4.73 ,,139,113
2016,7,9,,11,6,1.51,, 2.53 ,,87,55
2016,7,9,,18,14,1.19,, 4.73 ,,85,75
2016,7,10,,3,1,5.72,, 1.14 ,,47,107
2016,7,10,,17,12,1.34,, 3.27 ,,104,72
2016,7,10,,5,15,6.15,, 1.12 ,,98,109
2016,7,14,,16,10,1.59,, 2.35 ,,70,75
2016,7,15,,6,7,3.42,, 1.31 ,,61,78
2016,7,16,,14,5,1.16,, 5.19 ,,102,83
2016,7,16,,12,13,1.39,, 2.95 ,,77,105
2016,7,16,,1,4,1.17,, 5.05 ,,97,69
2016,7,16,,18,8,1.1,, 6.76 ,,107,59
2016,7,17,,3,17,5.15,, 1.16 ,,75,82
2016,7,17,,15,11,2.17,, 1.68 ,,110,74
2016,7,17,,2,9,7.38,, 1.09 ,,67,146
2016,7,22,,4,12,1.92,, 1.86 ,,84,124
2016,7,23,,16,3,1.05,, 8.92 ,,74,68
2016,7,23,,8,6,1.86,, 1.92 ,,105,81
2016,7,23,,17,11,1.15,, 5.30 ,,66,60
2016,7,23,,7,1,1.87,, 1.92 ,,85,55
2016,7,23,,18,15,1.35,, 3.21 ,,60,75
2016,7,24,,5,2,1.44,, 2.75 ,,91,128
2016,7,24,,10,14,1.14,, 5.64 ,,114,44
2016,7,24,,13,9,2.16,, 1.69 ,,60,79
2016,7,29,,7,18,1.23,, 4.12 ,,103,78
2016,7,30,,9,14,1.07,, 8.06 ,,111,23
2016,7,30,,10,3,1.07,, 8.32 ,,74,55
2016,7,30,,4,17,2.03,, 1.77 ,,91,72
2016,7,30,,2,13,5.8,, 1.13 ,,79,173
2016,7,30,,12,15,1.47,, 2.65 ,,85,62
2016,7,31,,11,8,1.15,, 5.48 ,,66,64
2016,7,31,,6,16,4.58,, 1.20 ,,47,137
2016,7,31,,1,5,1.01,, 17.47 ,,143,61
2016,8,5,,14,4,3.25,, 1.34 ,,92,77
2016,8,6,,16,13,1.27,, 3.79 ,,100,33
