year,month,day,round,hometeamindex,awayteamindex,homewinodds,drawodds,awaywinodds,overtime,homescore,awayscore
2011,3,24,,3,14, 1.29 ,, 3.51 ,,104,84
2011,3,25,,7,15, 2.18 ,, 1.68 ,,48,47
2011,3,26,,4,13, 1.08 ,, 7.99 ,,155,80
2011,3,26,,1,10, 1.92 ,, 1.85 ,,105,85
2011,3,26,,2,6, 1.98 ,, 1.79 ,,92,94
2011,3,27,,5,18, 2.31 ,, 1.59 ,,113,58
2011,3,27,,11,16, 1.78 ,, 1.99 ,,84,84
2011,3,27,,17,12, 1.61 ,, 2.27 ,,92,88
2011,4,1,,15,14, 1.23 ,, 4.15 ,,95,95
2011,4,2,,12,4, 6.70 ,, 1.10 ,,56,143
2011,4,2,,13,17, 1.45 ,, 2.72 ,,98,116
2011,4,2,,6,7, 1.67 ,, 2.15 ,,78,89
2011,4,2,,8,3, 3.96 ,, 1.25 ,,52,171
2011,4,3,,18,2, 1.12 ,, 6.34 ,,123,45
2011,4,3,,16,5, 1.80 ,, 1.97 ,,98,93
2011,4,3,,10,11, 1.41 ,, 2.83 ,,122,77
2011,4,8,,4,3, 1.22 ,, 4.32 ,,102,74
2011,4,9,,18,8, 1.02 ,, 14.29 ,,122,51
2011,4,9,,1,6, 1.49 ,, 2.60 ,,54,79
2011,4,9,,17,16, 1.90 ,, 1.86 ,,88,101
2011,4,9,,14,10, 3.72 ,, 1.27 ,,52,115
2011,4,10,,11,2, 1.18 ,, 4.65 ,,82,71
2011,4,10,,7,13, 1.07 ,, 7.96 ,,122,43
2011,4,10,,15,5, 1.81 ,, 1.95 ,,84,136
2011,4,15,,14,4, 9.79 ,, 1.05 ,,90,161
2011,4,16,,10,17, 1.11 ,, 6.27 ,,72,65
2011,4,16,,3,5, 1.89 ,, 1.86 ,,79,79
2011,4,16,,16,7, 2.07 ,, 1.72 ,,54,81
2011,4,16,,13,1, 2.78 ,, 1.42 ,,98,66
2011,4,17,,8,11, 8.79 ,, 1.07 ,,69,159
2011,4,17,,6,12, 1.18 ,, 4.82 ,,127,98
2011,4,21,,2,15, 3.66 ,, 1.28 ,,76,89
2011,4,23,,13,8, 1.05 ,, 10.58 ,,101,104
2011,4,23,,3,1, 1.28 ,, 3.68 ,,85,79
2011,4,24,,12,14, 1.82 ,, 1.94 ,,103,112
2011,4,25,,5,4, 4.26 ,, 1.22 ,,77,107
2011,4,25,,6,18, 1.67 ,, 2.15 ,,85,78
2011,4,26,,10,7, 2.02 ,, 1.75 ,,98,117
2011,4,28,,17,11, 1.56 ,, 2.41 ,,106,52
2011,4,29,,16,3, 1.66 ,, 2.19 ,,71,87
2011,4,30,,12,13, 1.45 ,, 2.72 ,,133,73
2011,4,30,,14,2, 1.40 ,, 2.93 ,,124,98
2011,4,30,,1,15, 1.76 ,, 2.01 ,,90,71
2011,5,1,,5,8, 1.03 ,, 12.75 ,,197,58
2011,5,1,,4,18, 1.12 ,, 6.13 ,,105,57
2011,5,6,,13,10, 4.45 ,, 1.20 ,,72,104
2011,5,7,,18,16, 1.69 ,, 2.12 ,,65,73
2011,5,7,,7,12, 1.07 ,, 8.35 ,,127,61
2011,5,7,,14,6, 2.20 ,, 1.64 ,,148,99
2011,5,7,,8,2, 6.33 ,, 1.12 ,,124,116
2011,5,8,,5,17, 1.20 ,, 4.40 ,,106,90
2011,5,8,,11,1, 1.81 ,, 1.96 ,,149,53
2011,5,9,,15,3, 2.84 ,, 1.41 ,,81,84
2011,5,13,,7,4, 2.62 ,, 1.48 ,,65,62
2011,5,14,,12,11, 1.81 ,, 1.95 ,,124,83
2011,5,14,,1,8, 1.14 ,, 5.65 ,,130,73
2011,5,14,,2,5, 4.43 ,, 1.20 ,,66,102
2011,5,14,,16,13, 1.12 ,, 6.12 ,,121,59
2011,5,15,,10,15, 1.42 ,, 2.82 ,,99,69
2011,5,15,,18,14, 1.66 ,, 2.18 ,,153,118
2011,5,15,,17,6, 1.96 ,, 1.80 ,,96,63
2011,5,20,,3,7, 2.74 ,, 1.44 ,,100,102
2011,5,21,,13,6, 2.39 ,, 1.56 ,,90,142
2011,5,21,,15,11, 1.40 ,, 2.90 ,,106,86
2011,5,21,,2,12, 1.88 ,, 1.87 ,,73,59
2011,5,21,,14,5, 2.73 ,, 1.44 ,,105,89
2011,5,22,,4,1, 1.05 ,, 9.88 ,,135,92
2011,5,22,,16,10, 1.74 ,, 2.05 ,,60,106
2011,5,22,,17,18, 1.67 ,, 2.15 ,,175,52
2011,5,27,,11,3, 5.64 ,, 1.14 ,,46,93
2011,5,28,,6,15, 1.58 ,, 2.35 ,,56,102
2011,5,28,,12,16, 2.02 ,, 1.76 ,,71,72
2011,5,28,,8,7, 12.50 ,, 1.03 ,,73,139
2011,5,28,,14,13, 1.24 ,, 4.06 ,,74,89
2011,5,29,,1,2, 1.26 ,, 3.79 ,,61,101
2011,5,29,,4,17, 1.22 ,, 4.24 ,,105,53
2011,5,29,,18,10, 3.37 ,, 1.32 ,,62,91
2011,6,3,,5,11, 1.24 ,, 4.02 ,,68,101
2011,6,4,,17,8, 1.05 ,, 9.75 ,,85,67
2011,6,4,,7,18, 1.11 ,, 6.55 ,,148,87
2011,6,4,,4,15, 1.18 ,, 4.72 ,,108,51
2011,6,4,,2,16, 1.84 ,, 1.91 ,,51,116
2011,6,5,,10,6, 1.19 ,, 4.59 ,,111,89
2011,6,5,,12,1, 1.60 ,, 2.29 ,,115,68
2011,6,5,,13,3, 4.32 ,, 1.21 ,,49,111
2011,6,10,,15,18, 1.40 ,, 2.89 ,,81,57
2011,6,11,,1,17, 2.20 ,, 1.64 ,,67,106
2011,6,11,,7,10, 1.44 ,, 2.73 ,,88,83
2011,6,11,,8,12, 3.34 ,, 1.32 ,,63,122
2011,6,12,,3,2, 1.06 ,, 9.33 ,,124,63
2011,6,12,,16,14, 1.25 ,, 3.86 ,,75,65
2011,6,12,,6,5, 1.76 ,, 2.01 ,,98,64
2011,6,13,,11,4, 4.63 ,, 1.19 ,,41,129
2011,6,17,,18,1, 1.29 ,, 3.48 ,,100,70
2011,6,18,,10,8, 1.02 ,, 14.67 ,,129,58
2011,6,18,,5,12, 1.65 ,, 2.18 ,,90,111
2011,6,18,,2,14, 2.12 ,, 1.69 ,,94,125
2011,6,18,,15,7, 3.65 ,, 1.27 ,,72,100
2011,6,19,,11,6, 1.73 ,, 2.06 ,,149,60
2011,6,19,,3,16, 1.28 ,, 3.59 ,,100,66
2011,6,19,,17,13, 1.07 ,, 8.45 ,,110,88
2011,6,24,,10,5, 1.61 ,, 2.28 ,,146,81
2011,6,25,,14,11, 1.95 ,, 1.81 ,,91,118
2011,6,25,,8,18, 5.24 ,, 1.15 ,,88,110
2011,6,25,,6,2, 1.17 ,, 4.96 ,,88,65
2011,6,25,,16,4, 5.46 ,, 1.15 ,,93,99
2011,6,26,,7,1, 1.06 ,, 8.92 ,,125,73
2011,6,26,,3,17, 1.22 ,, 4.19 ,,67,103
2011,6,26,,13,12, 2.59 ,, 1.48 ,,91,136
2011,7,1,,18,11, 2.01 ,, 1.75 ,,127,63
2011,7,2,,6,8, 1.10 ,, 6.56 ,,112,62
2011,7,2,,14,3, 3.85 ,, 1.25 ,,81,184
2011,7,2,,5,7, 7.76 ,, 1.08 ,,115,111
2011,7,2,,1,16, 2.78 ,, 1.42 ,,57,50
2011,7,3,,2,13, 1.41 ,, 2.85 ,,99,88
