year,month,day,round,hometeamindex,awayteamindex,homewinodds,drawodds,awaywinodds,overtime,homescore,awayscore
2009,6,19,,5,11, 1.24 ,, 3.93 ,,131,83
2009,6,20,,16,4, 1.93 ,, 1.75 ,,66,89
2009,6,21,,6,7, 7.25 ,, 1.08 ,,75,94
2009,6,26,,5,3, 2.55 ,, 1.48 ,,136,67
2009,6,27,,4,6, 1.12 ,, 5.94 ,,169,85
2009,6,27,,1,16, 1.25 ,, 3.75 ,,85,69
2009,6,27,,17,10, 2.77 ,, 1.42 ,,107,87
2009,6,27,,2,11, 1.06 ,, 8.25 ,,111,56
2009,6,28,,7,13, 1.05 ,, 8.63 ,,122,88
2009,6,28,,12,18, 5.03 ,, 1.16 ,,86,108
2009,6,28,,15,14, 1.07 ,, 7.63 ,,92,36
2009,7,3,,4,5, 1.50 ,, 2.50 ,,102,67
2009,7,4,,11,17, 1.96 ,, 1.75 ,,112,92
2009,7,4,,13,2, 2.30 ,, 1.57 ,,128,80
2009,7,4,,18,10, 1.40 ,, 2.80 ,,133,45
2009,7,4,,14,1, 3.78 ,, 1.25 ,,85,102
2009,7,5,,16,12, 1.31 ,, 3.32 ,,100,85
2009,7,5,,6,3, 2.28 ,, 1.57 ,,100,115
2009,7,5,,15,7, 2.30 ,, 1.56 ,,91,85
2009,7,10,,18,4, 1.56 ,, 2.34 ,,110,111
2009,7,11,,3,14, 1.25 ,, 3.76 ,,109,89
2009,7,11,,16,5, 1.66 ,, 2.14 ,,72,107
2009,7,11,,2,7, 2.28 ,, 1.57 ,,108,65
2009,7,11,,1,6, 1.14 ,, 5.44 ,,130,13
2009,7,12,,17,15, 4.70 ,, 1.17 ,,70,90
2009,7,12,,10,12, 1.50 ,, 2.50 ,,73,64
2009,7,12,,11,13, 2.89 ,, 1.38 ,,101,90
2009,7,17,,5,18, 3.10 ,, 1.36 ,,70,103
2009,7,18,,7,11, 1.04 ,, 10.25 ,,117,71
2009,7,18,,3,16, 1.23 ,, 3.91 ,,124,63
2009,7,18,,6,2, 3.14 ,, 1.34 ,,47,62
2009,7,18,,4,10, 1.38 ,, 2.90 ,,76,121
2009,7,19,,13,17, 1.16 ,, 4.85 ,,112,76
2009,7,19,,14,12, 1.93 ,, 1.79 ,,85,85
2009,7,19,,15,1, 1.34 ,, 3.15 ,,105,48
2009,7,24,,3,4, 1.95 ,, 1.76 ,,40,94
2009,7,25,,7,10, 1.39 ,, 2.95 ,,99,98
2009,7,25,,6,17, 1.66 ,, 2.14 ,,71,66
2009,7,25,,2,12, 1.15 ,, 5.03 ,,116,75
2009,7,25,,15,18, 1.51 ,, 2.44 ,,106,61
2009,7,26,,11,16, 3.23 ,, 1.33 ,,50,68
2009,7,26,,5,14, 1.28 ,, 3.62 ,,96,101
2009,7,26,,1,13, 1.53 ,, 2.40 ,,132,62
2009,7,31,,12,3, 3.38 ,, 1.30 ,,84,94
2009,8,1,,18,6, 1.04 ,, 10.88 ,,111,80
2009,8,1,,7,1, 1.25 ,, 3.70 ,,93,91
2009,8,1,,4,2, 1.37 ,, 3.06 ,,95,55
2009,8,1,,16,15, 5.43 ,, 1.13 ,,93,94
2009,8,2,,11,14, 3.70 ,, 1.26 ,,82,86
2009,8,2,,13,10, 2.63 ,, 1.45 ,,121,103
2009,8,2,,17,5, 2.79 ,, 1.41 ,,95,68
2009,8,7,,3,7, 3.15 ,, 1.35 ,,97,62
2009,8,8,,18,17, 1.06 ,, 8.38 ,,97,102
2009,8,8,,10,15, 1.52 ,, 2.45 ,,49,74
2009,8,8,,5,2, 2.40 ,, 1.54 ,,87,87
2009,8,8,,1,4, 1.84 ,, 1.87 ,,68,89
2009,8,9,,12,11, 1.34 ,, 3.17 ,,123,61
2009,8,9,,14,16, 1.79 ,, 1.92 ,,68,123
2009,8,9,,6,13, 2.48 ,, 1.50 ,,116,74
2009,8,14,,10,1, 2.14 ,, 1.67 ,,67,94
2009,8,15,,17,12, 1.37 ,, 2.93 ,,110,72
2009,8,15,,14,4, 6.44 ,, 1.10 ,,59,152
2009,8,15,,2,18, 1.75 ,, 1.98 ,,84,102
2009,8,15,,16,7, 2.61 ,, 1.45 ,,87,92
2009,8,16,,11,6, 2.18 ,, 1.63 ,,127,64
2009,8,16,,13,3, 1.91 ,, 1.80 ,,67,121
2009,8,16,,5,15, 5.50 ,, 1.13 ,,110,108
2009,8,21,,18,7, 2.24 ,, 1.61 ,,110,96
2009,8,22,,3,11, 1.07 ,, 7.63 ,,153,96
2009,8,22,,1,17, 1.16 ,, 4.90 ,,122,48
2009,8,22,,2,13, 1.18 ,, 4.60 ,,107,92
2009,8,22,,14,10, 3.03 ,, 1.36 ,,93,135
2009,8,23,,15,12, 1.06 ,, 8.60 ,,59,64
2009,8,23,,4,16, 1.20 ,, 4.36 ,,97,56
2009,8,23,,6,5, 1.84 ,, 1.87 ,,141,87
2009,8,28,,17,14, 1.21 ,, 4.27 ,,125,45
2009,8,29,,7,6, 1.05 ,, 9.00 ,,94,54
2009,8,29,,10,5, 2.03 ,, 1.71 ,,99,116
2009,8,29,,3,1, 1.81 ,, 1.93 ,,104,176
2009,8,29,,16,2, 1.67 ,, 2.12 ,,92,100
2009,8,29,,13,12, 1.38 ,, 2.94 ,,67,71
2009,8,30,,11,15, 12.00 ,, 1.02 ,,67,114
2009,8,30,,4,18, 1.71 ,, 2.08 ,,76,100
2009,9,4,,1,5, 1.10 ,, 6.50 ,,166,70
2009,9,5,,7,18, 1.83 ,, 1.93 ,,96,82
2009,9,5,,2,3, 1.87 ,, 1.86 ,,111,104
2009,9,6,,15,4, 1.60 ,, 2.25 ,,80,52
2009,9,11,,18,2, 1.26 ,, 3.70 ,,107,56
2009,9,12,,4,1, 2.18 ,, 1.66 ,,83,78
2009,9,18,,15,18, 1.36 ,, 3.05 ,,60,53
2009,9,19,,7,4, 1.34 ,, 3.18 ,,120,47
2009,9,26,,15,7, 2.20 ,, 1.63 ,,68,80
