year,month,day,round,hometeamindex,awayteamindex,homewinodds, drawodds , awaywinodds ,overtime,homescore,awayscore
2013,3,22,,1,5,1.46,, 2.68 ,,82,117
2013,3,23,,6,17,1.76,, 2.02 ,,108,80
2013,3,28,,3,14,1.86,, 1.91 ,,101,106
2013,3,30,,18,2,3.83,, 1.27 ,,127,59
2013,3,30,,9,16,11.62,, 1.04 ,,76,106
2013,3,30,,8,15,3.37,, 1.32 ,,90,77
2013,3,31,,11,13,1.83,, 1.94 ,,54,133
2013,3,31,,12,4,2.38,, 1.58 ,,87,103
2013,4,1,,10,7,1.6,, 2.32 ,,86,93
2013,4,5,,15,14,2.95,, 1.40 ,,82,99
2013,4,6,,16,8,1.09,, 7.51 ,,114,73
2013,4,6,,18,6,3.26,, 1.33 ,,78,106
2013,4,6,,2,1,1.99,, 1.81 ,,77,96
2013,4,6,,13,9,1.14,, 5.89 ,,134,78
2013,4,6,,5,11,1.08,, 7.93 ,,184,36
2013,4,7,,7,12,1.43,, 2.79 ,,112,108
2013,4,7,,17,10,1.96,, 1.82 ,,98,148
2013,4,7,,4,3,1.47,, 2.68 ,,117,100
2013,4,12,,6,5,1.43,, 2.84 ,,68,72
2013,4,13,,12,16,2.11,, 1.72 ,,92,131
2013,4,13,,11,17,11.52,, 1.03 ,,83,177
2013,4,13,,9,15,4.61,, 1.20 ,,68,140
2013,4,13,,7,3,1.51,, 2.53 ,,119,103
2013,4,13,,8,2,2.66,, 1.47 ,,92,94
2013,4,14,,14,18,1.25,, 3.90 ,,135,68
2013,4,14,,4,10,2.35,, 1.58 ,,90,145
2013,4,14,,13,1,2.7,, 1.46 ,,118,109
2013,4,19,,16,7,1.6,, 2.33 ,,103,124
2013,4,20,,10,6,1.17,, 5.04 ,,118,76
2013,4,20,,14,4,1.86,, 1.92 ,,79,113
2013,4,20,,15,5,2.49,, 1.53 ,,91,128
2013,4,20,,17,3,1.39,, 2.95 ,,65,89
2013,4,20,,8,13,2.62,, 1.49 ,,66,104
2013,4,21,,11,9,1.46,, 2.69 ,,144,103
2013,4,21,,1,18,1.11,, 6.46 ,,80,28
2013,4,21,,12,2,1.27,, 3.78 ,,125,62
2013,4,25,,5,4,2.21,, 1.65 ,,121,75
2013,4,25,,15,16,4.76,, 1.19 ,,63,79
2013,4,26,,6,14,1.45,, 2.76 ,,81,80
2013,4,27,,9,8,3.19,, 1.35 ,,104,148
2013,4,27,,3,1,1.44,, 2.78 ,,115,83
2013,4,27,,13,17,1.97,, 1.82 ,,84,79
2013,4,27,,18,7,13.89,, 1.02 ,,86,107
2013,4,28,,2,11,1.17,, 4.92 ,,122,94
2013,4,28,,10,12,1.18,, 4.89 ,,99,96
2013,5,3,,4,15,1.22,, 4.17 ,,103,77
2013,5,4,,5,9,1.01,, 19.27 ,,120,81
2013,5,4,,12,13,1.38,, 2.98 ,,93,83
2013,5,4,,1,10,4.46,, 1.20 ,,78,89
2013,5,4,,8,6,2.83,, 1.42 ,,54,99
2013,5,4,,14,7,2.94,, 1.39 ,,87,131
2013,5,5,,16,2,1.07,, 8.53 ,,115,55
2013,5,5,,17,18,1.03,, 13.06 ,,137,67
2013,5,5,,3,11,1.02,, 15.50 ,,121,60
2013,5,10,,7,5,1.65,, 2.21 ,,113,85
2013,5,11,,13,14,1.55,, 2.43 ,,73,114
2013,5,11,,2,17,4.34,, 1.21 ,,82,108
2013,5,11,,18,12,7.64,, 1.08 ,,97,151
2013,5,11,,6,4,2.43,, 1.55 ,,100,73
2013,5,11,,10,16,1.48,, 2.63 ,,119,82
2013,5,12,,9,1,9.51,, 1.05 ,,52,187
2013,5,12,,11,8,2.1,, 1.72 ,,54,114
2013,5,13,,15,3,3.81,, 1.26 ,,77,68
2013,5,17,,17,12,1.37,, 3.06 ,,90,88
2013,5,18,,5,2,1.04,, 10.82 ,,86,96
2013,5,18,,10,9,1.01,, 29.63 ,,140,57
2013,5,18,,8,18,1.62,, 2.26 ,,93,61
2013,5,18,,4,7,3.29,, 1.33 ,,102,96
2013,5,18,,16,6,1.35,, 3.15 ,,70,70
2013,5,19,,3,13,1.37,, 3.04 ,,109,91
2013,5,19,,14,11,1.02,, 14.70 ,,106,72
2013,5,19,,1,15,1.33,, 3.32 ,,87,47
2013,5,24,,4,16,1.61,, 2.28 ,,55,102
2013,5,25,,13,7,4.71,, 1.18 ,,68,116
2013,5,25,,9,17,16.03,, 1.01 ,,55,155
2013,5,25,,15,18,1.18,, 4.71 ,,101,110
2013,5,25,,2,3,2.73,, 1.45 ,,85,98
2013,5,25,,14,5,2.04,, 1.75 ,,62,91
2013,5,26,,10,8,1.01,, 16.33 ,,118,92
2013,5,26,,6,11,1.01,, 16.25 ,,130,40
2013,5,26,,12,1,1.44,, 2.74 ,,124,125
2013,5,31,,2,4,4.5,, 1.20 ,,51,100
2013,6,1,,1,6,1.81,, 1.98 ,,59,66
2013,6,1,,3,9,1.01,, 18.52 ,,148,54
2013,6,1,,16,5,1.51,, 2.52 ,,115,71
2013,6,1,,18,13,2.57,, 1.50 ,,67,58
2013,6,1,,7,8,1.03,, 13.05 ,,123,71
2013,6,2,,11,10,21.38,, 1.01 ,,48,143
2013,6,2,,12,15,1.22,, 4.29 ,,133,65
2013,6,3,,17,14,1.28,, 3.63 ,,62,103
2013,6,7,,5,3,1.8,, 1.98 ,,77,72
2013,6,8,,9,7,17.9,, 1.01 ,,98,157
2013,6,8,,1,16,2.47,, 1.53 ,,50,127
2013,6,8,,8,12,3.4,, 1.31 ,,66,51
2013,6,9,,15,17,2.86,, 1.42 ,,80,84
2013,6,10,,11,4,15.9,, 1.02 ,,39,122
2013,6,14,,3,10,4.07,, 1.23 ,,87,102
2013,6,15,,14,1,1.36,, 3.14 ,,110,72
2013,6,15,,6,2,1.06,, 9.37 ,,86,46
2013,6,15,,5,8,1.16,, 5.29 ,,115,72
2013,6,16,,9,13,4.26,, 1.22 ,,50,125
2013,6,16,,4,18,1.11,, 6.41 ,,99,65
2013,6,21,,10,17,1.16,, 5.17 ,,123,103
2013,6,22,,13,16,7.12,, 1.10 ,,72,54
2013,6,22,,15,11,1.11,, 6.47 ,,104,69
2013,6,22,,18,14,6.65,, 1.11 ,,61,121
2013,6,23,,6,12,1.32,, 3.35 ,,67,29
2013,6,23,,2,7,5.58,, 1.14 ,,103,98
2013,6,27,,17,5,2.08,, 1.73 ,,91,98
2013,6,28,,16,3,1.4,, 2.93 ,,65,43
2013,6,29,,8,1,2.35,, 1.58 ,,83,111
2013,6,29,,13,4,2.96,, 1.39 ,,86,51
2013,6,29,,7,6,1.37,, 3.08 ,,85,44
2013,6,29,,11,18,4.29,, 1.22 ,,103,100
2013,6,30,,10,2,1.06,, 8.84 ,,143,85
2013,6,30,,12,9,1.01,, 18.75 ,,130,44
2013,6,30,,14,15,1.19,, 4.61 ,,119,55
2013,7,5,,3,4,1.62,, 2.27 ,,77,118
2013,7,6,,9,18,4.31,, 1.21 ,,83,87
2013,7,6,,12,14,2.65,, 1.47 ,,128,66
2013,7,6,,2,8,1.29,, 3.63 ,,116,83
2013,7,6,,1,17,1.59,, 2.33 ,,69,75
2013,7,6,,7,10,2.25,, 1.63 ,,82,72
2013,7,7,,11,16,14.84,, 1.02 ,,85,116
2013,7,7,,6,15,1.03,, 11.92 ,,100,70
2013,7,7,,5,13,1.31,, 3.38 ,,118,88
2013,7,12,,4,1,1.18,, 4.81 ,,111,84
2013,7,13,,13,10,3.29,, 1.33 ,,79,124
2013,7,13,,7,11,1.01,, 17.58 ,,98,30
2013,7,13,,14,8,1.23,, 4.10 ,,53,44
2013,7,13,,2,12,2.82,, 1.43 ,,117,105
2013,7,13,,3,15,1.36,, 3.12 ,,110,74
2013,7,14,,16,9,1.01,, 19.92 ,,171,42
2013,7,14,,17,6,2.83,, 1.42 ,,93,121
2013,7,14,,18,5,7.25,, 1.09 ,,90,121
2013,7,19,,12,3,1.65,, 2.21 ,,108,109
2013,7,20,,10,18,1.01,, 14.85 ,,95,76
