gameindex,year,month,day,round,hometeamindex,awayteamindex,homewinodds,drawodds,awayteamodds,overtime,homescore,awayscore
1207,2015,3,5,,8,1,2.29,21.57,1.66,0,6,36
1208,2015,3,6,,13,5,1.93,19.89,1.94,0,42,12
1209,2015,3,7,,11,9,1.74,19.79,2.17,0,24,14
1210,2015,3,7,,10,15,2.65,22.18,1.5,0,18,19
1211,2015,3,7,,6,4,1.73,21.17,2.17,0,4,28
1212,2015,3,8,,3,2,2.02,20.37,1.85,0,24,18
1213,2015,3,8,,16,14,1.39,22.95,3.06,0,20,24
1214,2015,3,9,,12,7,2.3,21.29,1.66,0,4,12
1215,2015,3,13,,2,13,1.66,21.01,2.29,0,32,12
1216,2015,3,13,,16,8,1.91,22.06,1.93,0,2,10
1217,2015,3,14,,3,10,1.22,25.77,4.41,0,40,0
1218,2015,3,14,,5,7,2.3,20.51,1.66,0,24,22
1219,2015,3,14,,6,11,1.37,22.94,3.22,0,14,16
1220,2015,3,15,,1,4,1.75,20.38,2.14,0,34,26
1221,2015,3,15,,14,9,2.14,20.86,1.75,0,6,18
1222,2015,3,16,,15,12,1.53,22.4,2.56,0,22,4
1223,2015,3,20,,5,2,2.46,20.69,1.57,0,12,16
1224,2015,3,20,,8,6,1.99,19.89,1.89,0,44,22
1225,2015,3,21,,9,13,1.39,22.69,3.09,0,29,16
1226,2015,3,21,,14,12,1.59,21.89,2.45,0,20,22
1227,2015,3,21,,7,16,1.3,23.93,3.63,0,36,18
1228,2015,3,22,,1,15,1.21,27.1,4.47,0,20,6
1229,2015,3,22,,10,11,2.27,21.3,1.67,0,18,20
1230,2015,3,23,,4,3,1.41,20.63,3.07,0,20,12
1231,2015,3,27,,15,2,3.39,23.41,1.34,-1,24,25
1232,2015,3,27,,13,1,3.39,23.51,1.34,0,29,16
1233,2015,3,28,,11,3,1.87,19.7,2,0,26,14
1234,2015,3,28,,16,10,1.48,21.94,2.72,0,22,24
1235,2015,3,28,,12,5,2.43,21.36,1.59,0,12,4
1236,2015,3,29,,9,8,1.71,20.7,2.21,0,16,24
1237,2015,3,29,,4,14,1.14,32.41,5.7,0,34,6
1238,2015,3,30,,6,7,1.79,20.31,2.09,-1,18,17
1239,2015,4,3,,2,1,2.31,21.18,1.64,0,17,18
1240,2015,4,3,,10,8,2.45,21.86,1.56,0,16,26
1241,2015,4,4,,5,14,1.63,21.83,2.33,0,16,29
1242,2015,4,4,,11,12,1.37,23.07,3.14,0,0,13
1243,2015,4,5,,4,16,1.19,28.33,4.71,0,12,20
1244,2015,4,6,,13,15,1.99,20.52,1.85,0,6,22
1245,2015,4,6,,7,9,1.41,22.72,2.97,0,30,14
1246,2015,4,6,,3,6,1.59,21.61,2.4,0,10,30
1247,2015,4,10,,16,11,1.75,20.41,2.11,0,22,6
1248,2015,4,10,,8,4,2.29,20.55,1.65,-1,22,18
1249,2015,4,11,,13,10,1.4,21.96,3.02,0,16,38
1250,2015,4,11,,9,15,1.41,22.12,2.97,0,32,22
1251,2015,4,11,,3,5,1.41,22.29,2.93,0,22,12
1252,2015,4,12,,14,7,2.4,21.41,1.61,0,10,14
1253,2015,4,12,,12,2,1.87,20.13,1.97,0,31,6
1254,2015,4,13,,1,6,1.93,21.27,1.91,0,12,30
