gameindex,year,month,day,round,hometeamindex,awayteamindex,homewinodds,drawodds,awayteamodds,overtime,homescore,awayscore
403,2011,3,11,,4,1,1.73,18.9,2.08,0,40,29
404,2011,3,11,,8,6,1.46,18.8,2.7,0,14,16
405,2011,3,12,,9,13,1.41,20,2.85,0,18,24
406,2011,3,12,,10,12,2.46,18.75,1.54,0,16,25
407,2011,3,12,,7,5,1.53,18.7,2.46,0,18,6
408,2011,3,13,,14,16,1.34,21,3.2,0,40,12
409,2011,3,13,,3,11,1.67,18.5,2.18,0,8,42
410,2011,3,14,,2,15,2.12,18.5,1.71,0,24,14
411,2011,3,18,,13,3,1.46,19.5,2.67,0,6,20
412,2011,3,18,,14,8,1.45,19.8,2.71,0,4,20
413,2011,3,19,,7,10,1.46,19.6,2.68,0,40,12
414,2011,3,19,,15,9,1.45,19.8,2.71,0,20,12
415,2011,3,19,,6,11,1.54,18.5,2.44,0,22,34
416,2011,3,20,,1,2,2.41,18.7,1.55,0,19,28
417,2011,3,20,,4,5,1.23,24,3.89,0,16,27
418,2011,3,21,,16,12,4.85,25.25,1.16,0,16,10
419,2011,3,25,,13,1,1.89,16.9,1.91,0,18,32
420,2011,3,25,,10,8,2.05,18.88,1.75,0,8,14
421,2011,3,26,,3,16,1.42,20,2.78,0,12,44
422,2011,3,26,,15,14,1.52,18.8,2.49,0,34,24
423,2011,3,27,,9,12,2.08,17,1.74,0,12,25
424,2011,3,27,,2,4,1.99,17,1.81,0,24,20
425,2011,3,27,,5,11,1.56,18.9,2.39,0,26,12
426,2011,3,28,,6,7,2.55,18.75,1.5,0,34,6
427,2011,4,1,,1,5,2.14,19,1.68,0,32,30
428,2011,4,1,,8,3,1.36,21.6,3.06,0,18,10
429,2011,4,2,,14,10,1.31,21,3.33,-1,22,23
430,2011,4,2,,13,6,1.68,18.9,2.15,0,22,20
431,2011,4,3,,16,9,2.18,18.9,1.66,0,18,26
432,2011,4,3,,11,12,2.61,19.6,1.48,0,18,20
433,2011,4,3,,4,15,1.4,18.9,2.93,0,24,6
434,2011,4,4,,7,2,1.71,19,2.11,0,30,16
435,2011,4,8,,6,10,1.49,19.5,2.57,0,22,12
436,2011,4,8,,15,1,2.29,18.7,1.6,0,30,6
437,2011,4,9,,9,4,2.25,18.3,1.63,0,24,12
438,2011,4,9,,16,5,2.19,18.3,1.66,0,13,19
439,2011,4,9,,3,14,1.74,18.5,2.07,0,36,10
440,2011,4,10,,7,13,1.29,21.4,3.43,0,38,0
441,2011,4,10,,12,2,1.51,19,2.52,0,25,6
442,2011,4,11,,8,11,1.61,18.3,2.28,0,17,6
443,2011,4,15,,13,2,2.58,19.8,1.49,0,14,34
444,2011,4,15,,10,15,2.06,18.13,1.75,0,20,14
445,2011,4,16,,5,9,1.42,20.6,2.82,0,20,10
446,2011,4,16,,4,8,1.7,18.7,2.12,0,6,24
447,2011,4,16,,6,14,1.52,18.8,2.53,0,26,18
448,2011,4,17,,11,16,1.4,20.6,2.89,0,24,20
449,2011,4,17,,3,7,2.58,19.8,1.49,0,10,25
450,2011,4,18,,1,12,2.72,20.4,1.44,0,0,16
451,2011,4,22,,15,8,1.67,17.63,2.18,0,18,31
452,2011,4,22,,5,3,1.35,20.6,3.11,0,22,16
453,2011,4,23,,16,6,1.72,18.5,2.09,0,12,30
454,2011,4,23,,2,1,1.54,18.7,2.43,0,36,24
455,2011,4,24,,14,11,1.6,19,2.29,0,12,22
456,2011,4,24,,13,10,2.12,18.6,1.7,0,22,18
457,2011,4,25,,4,12,3.02,20.8,1.37,0,10,24
458,2011,4,25,,7,9,1.24,22,3.8,0,14,18
459,2011,4,29,,8,2,1.7,18.6,2.14,0,20,12
