gameindex,year,month,day,round,hometeamindex,awayteamindex,homewinodds,drawodds,awayteamodds,overtime,homescore,awayscore
720,2012,6,25,,11,15,2.79,20.75,1.44,0,38,20
721,2012,6,29,,8,16,1.56,19.31,2.43,0,12,26
722,2012,6,30,,13,11,2.09,19.25,1.75,0,12,20
723,2012,7,1,,9,6,1.17,24.86,4.86,0,35,18
724,2012,7,1,,1,3,1.19,23.38,4.64,0,38,12
725,2012,7,2,,14,12,2.37,19.94,1.59,0,22,18
726,2012,7,6,,15,2,2.77,20.75,1.45,0,20,32
727,2012,7,7,,7,14,1.21,23.13,4.4,0,12,40
728,2012,7,7,,10,9,2.69,20.57,1.47,0,14,32
729,2012,7,8,,1,11,1.25,23.63,3.92,0,34,14
730,2012,7,8,,5,13,1.13,28,5.57,0,40,24
731,2012,7,9,,16,4,1.5,20.81,2.61,-1,14,14
732,2012,7,13,,2,13,1.11,29.64,6.54,0,32,12
733,2012,7,13,,8,9,1.44,20.86,2.79,0,10,8
734,2012,7,14,,11,5,3.13,21.07,1.37,0,32,6
735,2012,7,14,,7,6,1.45,20.71,2.77,0,16,20
736,2012,7,14,,15,3,1.25,23,3.94,0,26,18
737,2012,7,15,,14,10,1.48,20.83,2.66,0,26,38
738,2012,7,15,,12,16,1.63,19.5,2.29,0,18,10
739,2012,7,16,,4,1,3.61,21.93,1.29,0,22,24
740,2012,7,20,,5,2,1.71,19,2.15,0,12,20
741,2012,7,20,,10,8,2.76,20.29,1.46,0,14,10
742,2012,7,21,,9,11,1.25,23,3.88,0,19,24
743,2012,7,21,,1,12,1.58,19.64,2.39,0,36,14
744,2012,7,21,,13,7,3.71,23.14,1.28,0,16,10
745,2012,7,22,,16,14,1.46,20.5,2.76,0,4,36
746,2012,7,22,,3,4,1.76,19.07,2.09,0,28,16
747,2012,7,23,,6,15,1.59,19.5,2.38,0,29,16
748,2012,7,27,,4,10,2.22,18.5,1.66,0,16,36
749,2012,7,27,,12,7,2.82,19.83,1.43,0,26,18
750,2012,7,28,,2,6,1.58,20.36,2.4,0,32,18
751,2012,7,28,,5,9,1.47,20.5,2.68,0,24,22
752,2012,7,28,,16,3,1.58,19.57,2.44,-1,20,21
753,2012,7,29,,14,11,1.6,20.17,2.37,0,6,36
754,2012,7,29,,1,15,1.31,22,3.51,0,32,6
755,2012,7,30,,8,13,1.28,22.43,3.74,0,22,42
756,2012,8,3,,4,12,2.49,20,1.54,0,26,10
757,2012,8,4,,7,3,1.24,23.38,4.07,0,46,6
758,2012,8,4,,11,2,2.41,19.56,1.58,0,10,26
759,2012,8,4,,6,5,1.72,18.94,2.13,0,6,8
760,2012,8,5,,9,16,1.47,20.5,2.7,0,4,45
761,2012,8,5,,14,8,2.22,19.56,1.66,0,28,12
762,2012,8,5,,10,1,2.2,20.06,1.68,0,18,22
763,2012,8,6,,15,13,1.53,21,2.53,0,51,26
764,2012,8,10,,1,5,1.85,18.69,1.98,0,6,23
765,2012,8,10,,7,10,1.32,22.75,3.41,0,24,16
766,2012,8,11,,13,4,1.98,18.75,1.84,0,36,22
767,2012,8,11,,15,12,1.57,20.63,2.41,0,22,12
768,2012,8,11,,6,9,1.34,22.69,3.26,0,52,12
769,2012,8,12,,3,14,2.04,18.86,1.79,0,10,20
770,2012,8,12,,2,8,1.31,22.5,3.5,0,22,14
771,2012,8,13,,11,16,1.76,19.19,2.07,0,26,4
772,2012,8,17,,2,15,1.43,20.86,2.86,-1,23,22
773,2012,8,17,,8,7,2.38,20.29,1.59,0,18,19
774,2012,8,18,,14,4,1.39,21.14,3.01,0,24,20
775,2012,8,18,,16,1,2.71,20.71,1.47,0,20,7
776,2012,8,19,,9,3,1.36,21.86,3.16,0,16,18
777,2012,8,19,,10,13,1.39,21.43,3.03,0,24,16
778,2012,8,19,,5,11,1.36,21.28,3.18,0,42,20
779,2012,8,20,,12,6,2.39,20.57,1.58,0,22,32
780,2012,8,24,,5,8,1.45,20.67,2.76,0,16,6
781,2012,8,24,,14,2,2.5,20.17,1.53,0,34,6
782,2012,8,25,,3,10,2.4,19.08,1.57,0,36,22
783,2012,8,25,,12,9,1.48,20.67,2.61,0,38,6
784,2012,8,25,,6,11,1.31,22.67,3.4,0,22,14
785,2012,8,26,,4,15,2.48,20.17,1.54,0,44,20
786,2012,8,26,,1,13,1.16,25.67,5,0,38,6
787,2012,8,27,,7,16,1.35,21.83,3.17,0,20,18
788,2012,8,31,,11,1,2.36,19.89,1.59,0,6,18
789,2012,8,31,,8,3,1.19,24.22,4.54,0,19,12
790,2012,9,1,,10,5,4.26,22.33,1.22,0,16,24
791,2012,9,1,,15,7,2.39,19.06,1.6,0,6,26
792,2012,9,1,,2,4,1.16,25,5.12,0,42,10
793,2012,9,2,,9,14,2.38,19.61,1.59,0,22,42
794,2012,9,2,,16,6,1.51,19.06,2.59,0,22,36
795,2012,9,2,,13,12,2,18.06,1.83,0,8,29
796,2012,9,7,,2,5,2.09,18.35,1.77,0,16,10
797,2012,9,8,,7,1,1.62,19.15,2.33,0,24,6
798,2012,9,8,,6,8,1.41,20.45,2.92,0,33,16
799,2012,9,9,,14,16,1.64,19.05,2.28,0,34,16
800,2012,9,14,,5,6,1.87,18.09,1.96,0,22,12
801,2012,9,15,,1,14,1.4,20.76,2.99,0,38,16
802,2012,9,21,,7,5,1.61,18.82,2.35,0,40,12
803,2012,9,22,,2,1,1.46,20.58,2.76,0,32,8
804,2012,9,30,,2,7,2.07,18.46,1.79,0,4,14
