gameindex,year,month,day,round,hometeamindex,awayteamindex,homewinodds,drawodds,awayteamodds,overtime,homescore,awayscore
604,2012,3,1,,11,12,1.61,18.24,2.37,-1,14,15
605,2012,3,2,,13,8,2.43,19.75,1.57,0,6,18
606,2012,3,3,,14,7,2.44,18.79,1.57,0,19,24
607,2012,3,3,,3,2,2.02,17.69,1.84,0,14,22
608,2012,3,3,,6,10,1.48,19.68,2.7,0,0,18
609,2012,3,4,,9,5,1.67,18.9,2.23,0,20,26
610,2012,3,4,,15,16,1.45,19.79,2.81,-1,17,16
611,2012,3,5,,1,4,1.79,19.29,2.05,0,20,24
612,2012,3,9,,5,15,1.99,20.08,1.84,0,22,18
613,2012,3,9,,8,6,1.46,20.79,2.72,0,26,28
614,2012,3,10,,10,14,1.7,19.99,2.17,0,12,24
615,2012,3,10,,2,12,2.4,20.13,1.58,0,30,4
616,2012,3,11,,16,11,2.14,19.62,1.72,0,6,18
617,2012,3,11,,4,3,1.52,20.1,2.49,0,0,18
618,2012,3,11,,7,1,1.43,21.49,2.84,0,24,10
619,2012,3,12,,13,9,2.42,20.36,1.56,0,20,36
620,2012,3,16,,12,15,1.83,19.19,1.99,0,36,12
621,2012,3,16,,11,8,1.92,19.13,1.9,0,10,24
622,2012,3,17,,10,7,3.01,22.63,1.38,0,6,30
623,2012,3,17,,6,13,1.34,22.5,3.26,0,42,6
624,2012,3,18,,9,2,1.49,19.5,2.58,0,18,32
625,2012,3,18,,4,14,1.83,19.14,1.97,0,14,8
626,2012,3,18,,3,1,1.82,19.79,1.97,0,24,40
627,2012,3,19,,16,5,2.75,21.44,1.44,0,17,14
628,2012,3,23,,13,3,2.08,18.2,1.77,0,6,39
629,2012,3,23,,1,8,2.1,18.45,1.74,0,12,20
630,2012,3,24,,9,10,1.21,24.75,4.35,0,26,6
631,2012,3,24,,12,5,1.69,19.56,2.18,0,17,6
632,2012,3,24,,6,16,1.42,20.5,2.87,0,14,20
633,2012,3,25,,7,4,1.2,25.38,4.38,0,44,4
634,2012,3,25,,2,11,1.45,21.33,2.75,0,6,20
635,2012,3,26,,15,14,1.4,21.13,2.99,0,16,30
636,2012,3,30,,7,11,1.34,20.2,3.22,0,34,22
637,2012,3,30,,8,12,1.55,19.3,2.43,0,28,20
638,2012,3,31,,3,16,1.72,18.5,2.1,0,14,15
639,2012,3,31,,13,5,2.69,20,1.45,0,29,20
640,2012,3,31,,4,9,3.42,21.4,1.3,0,26,8
641,2012,4,1,,10,2,2.66,20,1.46,0,20,30
642,2012,4,1,,15,1,2.45,19.5,1.53,0,16,17
643,2012,4,2,,14,6,1.6,20.06,2.33,0,6,22
644,2012,4,6,,1,2,2.19,18.67,1.68,0,20,10
645,2012,4,6,,15,8,2.45,19.44,1.55,0,14,18
646,2012,4,7,,10,4,2.11,18.67,1.73,0,12,18
647,2012,4,7,,16,12,2.19,19.39,1.67,0,12,0
648,2012,4,8,,14,9,2.14,19.11,1.71,0,32,12
649,2012,4,8,,11,13,1.43,20.67,2.83,0,14,6
650,2012,4,8,,6,7,2.38,20.19,1.58,0,18,42
651,2012,4,9,,5,3,1.43,20.89,2.79,0,30,0
652,2012,4,13,,12,11,1.56,19.83,2.44,0,12,4
653,2012,4,13,,8,14,1.33,21.63,3.3,0,30,6
654,2012,4,14,,7,2,1.25,23.13,3.84,0,12,6
655,2012,4,14,,4,6,2.25,19.33,1.66,0,12,50
656,2012,4,14,,5,10,1.19,23.44,4.62,0,14,26
657,2012,4,15,,9,1,1.56,19.83,2.42,0,44,22
658,2012,4,15,,16,13,1.44,21.22,2.76,0,24,18
659,2012,4,15,,3,15,2.44,19.44,1.57,0,0,30
660,2012,4,25,,12,4,1.39,21.69,2.98,0,28,24
661,2012,4,25,,7,9,1.33,21.88,3.29,0,32,14
662,2012,4,27,,2,5,2.02,18.5,1.82,0,10,12
663,2012,4,27,,8,10,1.2,23.25,4.48,0,26,6
664,2012,4,28,,1,6,1.94,16.94,1.89,0,20,16
665,2012,4,29,,14,16,1.93,16.94,1.9,0,22,44
666,2012,4,29,,13,15,2.77,20.88,1.45,0,30,31
667,2012,4,30,,11,3,1.31,21,3.33,0,34,14
668,2012,5,4,,13,2,2.75,20.38,1.45,0,12,46
669,2012,5,4,,6,12,1.61,19.38,2.33,0,30,6
670,2012,5,5,,9,8,2.2,18.94,1.67,0,30,20
671,2012,5,5,,3,7,5.72,27.06,1.13,0,10,44
672,2012,5,5,,10,15,3.47,21.75,1.31,-1,14,15
673,2012,5,6,,5,14,1.19,25.31,4.54,0,18,12
674,2012,5,6,,4,11,1.58,20.44,2.38,0,24,6
675,2012,5,7,,1,16,1.77,18.59,2.06,0,34,28
676,2012,5,11,,8,5,1.97,18.64,1.85,0,22,24
677,2012,5,11,,2,10,1.3,22.57,3.53,0,14,25
678,2012,5,12,,9,4,1.35,21.64,3.22,0,30,26
679,2012,5,12,,11,6,2.3,19.71,1.61,0,12,32
680,2012,5,13,,14,13,1.4,21.71,2.97,0,40,34
681,2012,5,13,,16,7,3.71,23.71,1.27,0,12,10
682,2012,5,14,,3,12,3.24,22.43,1.34,-1,13,12
683,2012,5,18,,15,9,1.96,17.56,1.87,0,24,22
684,2012,5,19,,6,3,1.44,20.75,2.79,0,30,28
685,2012,5,20,,5,4,1.45,20.06,2.78,0,18,10
686,2012,5,20,,12,1,1.98,17.81,1.85,-1,18,19
687,2012,5,21,,2,16,1.42,20.36,2.9,0,26,6
688,2012,5,25,,1,14,1.24,23,4.05,0,36,18
689,2012,5,25,,7,8,1.42,20.75,2.91,0,34,10
690,2012,5,26,,11,10,1.51,19.75,2.57,0,14,24
691,2012,5,26,,12,13,1.39,21.25,3.04,0,14,12
692,2012,5,27,,3,5,3.02,21.25,1.39,0,22,4
693,2012,5,27,,15,6,1.61,19.25,2.34,0,26,18
694,2012,5,28,,4,2,2.4,19.5,1.58,0,12,30
695,2012,6,1,,5,12,1.44,21.13,2.79,0,20,8
696,2012,6,1,,10,6,2.22,19.44,1.67,0,28,12
697,2012,6,2,,14,15,2.73,21.06,1.46,0,0,40
698,2012,6,2,,2,1,2.01,18.94,1.8,0,23,18
699,2012,6,3,,9,7,2.43,20.06,1.56,0,12,22
700,2012,6,3,,8,11,1.17,25.25,4.91,0,50,24
701,2012,6,4,,13,16,2.71,20.44,1.47,0,29,20
702,2012,6,8,,7,15,2.77,20.57,1.45,0,6,10
703,2012,6,9,,11,14,1.54,19.75,2.5,0,16,32
704,2012,6,10,,16,10,1.61,19.14,2.33,0,22,12
705,2012,6,10,,4,8,1.65,20.21,2.25,0,22,40
706,2012,6,11,,3,9,2.82,20.33,1.44,0,16,30
707,2012,6,15,,12,2,2.27,19.86,1.64,0,20,28
708,2012,6,15,,6,8,1.72,18.89,2.15,0,12,0
709,2012,6,16,,16,9,2.31,19.81,1.63,0,20,19
710,2012,6,16,,13,1,2.62,20.75,1.49,0,6,24
711,2012,6,17,,10,3,1.49,20.5,2.62,0,36,18
712,2012,6,17,,15,4,1.37,22.06,3.05,0,28,42
713,2012,6,18,,5,7,1.58,19.94,2.39,0,22,26
714,2012,6,22,,12,10,1.45,20.75,2.78,0,8,6
715,2012,6,22,,8,1,1.44,20.88,2.79,0,26,12
716,2012,6,23,,6,14,1.25,23.5,3.88,0,40,18
717,2012,6,23,,3,13,1.67,18.81,2.21,-1,18,19
718,2012,6,24,,2,7,2.21,19.31,1.68,0,20,4
719,2012,6,24,,4,5,2.57,20.06,1.51,0,14,52
